名次	姓名	语文	数学	英语	物理	化学	生物	政治	历史	地理	总分	平均分	
0	平均	69.10	70.70	68.53	69.60	72.00	69.40	60.43	71.00	74.80	625.57	69.51	
1	小沈	94	95	72	86	78	78	不及格	95	96	737.0	81.89	
2	小郑	84	93	不及格	94	86	71	69	81	71	708.0	78.67	
3	小朱	97	91	88	86	86	不及格	61	不及格	82	701.0	77.89	
4	小施	88	74	不及格	不及格	78	87	96	88	90	687.0	76.33	
5	小何	86	不及格	86	不及格	76	92	79	95	不及格	663.0	73.67	
6	小张	不及格	87	不及格	88	95	78	91	不及格	94	662.0	73.56	
7	小赵	73	85	80	82	93	不及格	64	87	不及格	660.0	73.33	
8	小金	78	84	77	不及格	79	82	不及格	74	94	660.0	73.33	
9	小华	不及格	85	85	72	62	87	94	73	不及格	645.0	71.67	
10	小陈	98	90	64	71	90	65	不及格	不及格	89	640.0	71.11	
11	小魏	75	不及格	不及格	85	不及格	60	97	99	69	638.0	70.89	
12	小卫	70	67	不及格	96	94	69	62	72	72	635.0	70.56	
13	小孙	95	64	87	79	不及格	70	不及格	72	87	633.0	70.33	
14	小吴	不及格	83	80	94	90	86	不及格	不及格	64	629.0	69.89	
15	小吕	不及格	不及格	81	不及格	95	80	不及格	81	99	619.0	68.78	
16	小钱	不及格	91	81	92	72	不及格	不及格	65	83	617.0	68.56	
17	小杨	86	93	87	不及格	75	不及格	不及格	60	81	617.0	68.56	
18	小秦	不及格	不及格	64	78	89	91	不及格	94	61	612.0	68.00	
19	小孔	不及格	86	88	83	80	90	不及格	78	不及格	610.0	67.78	
20	小曹	63	不及格	不及格	94	不及格	不及格	73	91	78	607.0	67.44	
21	小楮	90	不及格	70	不及格	88	73	69	74	60	605.0	67.22	
22	小严	不及格	71	77	60	91	79	90	不及格	61	602.0	66.89	
23	小许	不及格	72	99	不及格	不及格	92	62	92	65	601.0	66.78	
24	小蒋	82	不及格	63	70	60	67	不及格	69	92	600.0	66.67	
25	小李	87	不及格	81	不及格	73	不及格	不及格	74	97	591.0	65.67	
26	小冯	不及格	74	83	69	不及格	78	73	不及格	不及格	587.0	65.22	
27	小韩	83	70	不及格	74	不及格	不及格	不及格	93	78	578.0	64.22	
28	小尤	74	67	63	不及格	不及格	89	不及格	66	76	578.0	64.22	
29	小王	75	83	不及格	不及格	72	不及格	不及格	64	80	525.0	58.33	
30	小周	不及格	不及格	66	65	不及格	不及格	70	不及格	89	520.0	57.78	
